index,text,emotions
371269,i really started to not feel well,joy
363610,i almost feel like i m being punished and i can t think of anything i ve done,sadness
378417,i feel content and at home when i m at the beach or exercising my creativity,joy
380475,i find im not as sore after a long bike ride as i used to be after a long run but i feel just as invigorated and exercised as i did from a run,joy
381643,im lazy i get bored i get scared i feel ignored i feel happy i get silly,sadness
363014,i cannot help but feel shocked convicted and a bit frazzled at first,surprise
403709,i wouldnt feel jealous because i would be her number one,anger
378324,i am feeling very curious about my readers,surprise
363803,i thought back about our text messages for the last few months i feel like im a little dumb and how wonderful it is if it can be continue til now,sadness
356529,i start to assume that i am terrible feeling in the pit of mystomach and i m terrified that another panic attack occurs or that some other unknown terrible thing is going to happen to me or anyone in my family,fear
395644,i just sit in the rv dinette in the driveway look out the big back window and feel amazing,surprise
403378,i feel like washing and caring for the lunapads teaches a certain amount of appreciation for our things,love
356269,i feel is strange rel bookmark november a href http eagleandhammer,fear
358474,i feel like i have to stay loyal to nick completely,love
364488,im eager to see what everyone else does with this fab background this month and have a sneaky feeling theirs will be an awful lot more inventive than mine,sadness
380657,i feel strongly about and i am convinced it is an issue that the google people will need to sort out before hardware starts landing,joy
408483,i have any questions or concerns she never makes me feel dumb and if something has been causing me pain,sadness
415457,i was feeling really crappy on day of the diet ive been okay,sadness
367156,i the teacher that is making my students feel loved and safe and cared for with my whole heart,love
401633,i realized that my self consciousness about my vatbodsandugreevase didnt lessen because im feeling super confident now or some shit,joy
