ID,Target,Tweet,Stance
20546,Donald Trump,Liberals are winning the battle of the mind by indoctrinating low IQ & youth of #America through #MSM & social media #SemST,NONE
11227,Legalization of Abortion,So the #Democrats tore down their OWN #ConfederateFlag NOW if they get rid of THEIR #KKK #blackpanthers #alsharpton #hate #SemST,NONE
2278,Hillary Clinton,"over the river and through the woods, and UP WITH HILL WE GO! Yass #HillaryClinton  #Hillary   #SemST",AGAINST
20585,Donald Trump,@FoxBusiness I would have to say that #NYSE would never admit a hack. #SemST,NONE
567,Atheism,"If you are in need of prayer or encouragement, please call my 24/7 prayerline at 772-324-9040. #God bless you! #PrayerChangesThings #SemST",AGAINST
20510,Donald Trump,Greece is our future.  Pay attention.  #GreekCrisis #SemST,NONE
20668,Donald Trump,@thehill it's called an ad hominem attack & it's used by people who know they can't win on the merits we r onto u congressman #SemST,NONE
10748,Hillary Clinton,Rhodham Hood: It takes a village to  community organize wealth redistribution Obama-style.   #SemST,NONE
2068,Hillary Clinton,"It's Monday night,do you know where your Hillary supporters are? In Rock Hill at our Amazing Phone bank! Come join!HillaryforSC #SemST",FAVOR
10490,Feminist Movement,Just watched the frickin' awesome interview with @caitlinmoran and @lenadunham ! What a breath of fresh air those two ladies are!! #SemST,NONE
455,Atheism,Peace I leave with you; my peace I give to you. | John 14:27a | #SemST,AGAINST
1989,Hillary Clinton,@HillaryClinton You have proven your dishonesty once again in flip flopping on this issue. People know you were opposed before. #SemST,AGAINST
20325,Donald Trump,@TIMENOUT @TIB2016 @AlanColmes is a prime example of a #LobotomizedLiberal. #SemST,AGAINST
20503,Donald Trump,@realDonaldTrump @ericbolling GOP wants to discredit Mr. Trump and his reputation clean like diamonds #usa #SemST,FAVOR
586,Atheism,Be still. Be patient. Watch and let God work. #SemST,AGAINST
1387,Feminist Movement,One gay one straight. one male One female. One friendship. #Equality #Friends #SemST,NONE
10483,Feminist Movement,@NuuYawkerr I have a solution kill all of us... #SemST,NONE
1109,Feminist Movement,"@rimmedlarry Actually, the tag was made by feminists so they can narcissistically post selfies to prove they're not ugly. #SemST",AGAINST
783,Climate Change is a Real Concern,"Oh: Watching the #news re #Greece currently, it's ([all]) #relative re #why I'm here! Re's D #peace #GMS #Democracy #Goal??? #SemST",NONE
10949,Hillary Clinton,So over 20 million government employees got their private info stolen. Has anyone checked @HillaryClinton server?  #2016 #Fail #SemST,AGAINST
