id,premise,hypothesis,explanation,type,idiom
4455,Theon Greyjoy was not at all familiar with this godswood.,Theon Greyjoy was no stranger to this godswood.,"To be no stranger to something means to be very familiar with it, but Theon Greyjoy is not at all familiar with the godswood.",Idiom,be no stranger to
539,I'm afraid of what the future has in store with overpopulation and unemployment.,Our future is completely secure at how overpopulation and unemployment are beautifully tearing our society apart.,The problems of overpopulation and unemployment are not things to be happy about because they could lead to a lot of trouble in the future.,Sarcasm,
3746,The news hit me lightly,The news hit me like a Mack truck.,"A Mack truck is a large, heavy vehicle, so the news hitting someone like that would be a very big impact, not a light one",Simile,
5904,"Next to her, xander is holding himself stiffly","Next to her, xander is holding himself like a groom on a wedding cake.","A groom on a wedding cake is a figurine that is very stiff, so this simile is saying that xander is holding himself very stiffly.",Simile,
6131,My head moved towards her neck.,My head dwelled in the crook of her neck.,"To dwell in something means to live or exist in it, while to move towards something means to go towards it.",Metaphor,
5896,He did not apply fertilizer over the lawn.,He lathered fertilizer over the lawn.,"Lathering something typically means to cover it in a substance, whereas the another statement says he did not do it.",Metaphor,
4908,After a few weeks he’s starting to feel a little lonely,After a few weeks he’s starting to feel like an outcast.,An outcast is someone who is not accepted by society and is therefore lonely.,Simile,
1122,John excelled among his class mates.,John fell behind his class mates.,"To fall behind means to lag or trail in development, while to excel means to surpass or be superior in achievement.",Metaphor,
6059,"I don't want to always be relaxed, calm and content around you.",I don't want to always be on edge around you.,"To be on edge means to be tense, nervous and irritable, and this is how the speaker feels around the other person and not relaxed , calm  or content.",Idiom,on edge
6628,"As gandalf always says, when in doubt, peregrin took, trusted his instincts and went with his gut feeling.","As gandalf always says, when in doubt, peregrin took, follow your nose.","To follow your nose means to trust one's instinct, which is what Peregrin did when he followed his gut feeling.",Idiom,follow your nose
488,"Unfortunately, their ideas about your past life are hilariously inaccurate","Unfortunately, their ideas about your past life are like drunken bat swings at a dart board.","A drunken bat swinging at a dart board is not likely to hit the target, meaning their ideas are inaccurate.",Simile,
6257,Your breakthrough in AI just made our species more relevant than ever.,You’ve just made a breakthrough in AI that meant that our species became like useless flesh blobs.,"If our species became like useless flesh blobs, it would mean that we are now irrelevant and not needed, which contradicts the second sentence",Simile,
3498,I procrastinated and didn't do the dishes for a couple days now and fungus started to grow on some of the old food,I'm so excited that fungus started to grow from the old food because I left the dishes for a couple days.,Seeing fungus grow from old food is disgusting and certainly not something to be excited about.,Sarcasm,
2269,I was cut off today and crashed my car into a pole to avoid colliding with someone.,I was so overjoyed when I got cut off that I celebrated by crashing my car into a pole to avoid colliding with someone,"Being cut off by another driver is often a very frustrating thing and can cause road rage and, it would not make anyone overjoyed and instead cause them to act out in anger.",Sarcasm,
4774,She said I was white.,She said I was like a china doll.,"A china doll is a doll made of porcelain, which is typically white, so her skin is white.",Simile,
3694,Nate received negative feedback and criticism for not asking to join me in the shower.,Nate received brownie points for not asking to join me in the shower.,"A brownie point is an imaginary award given to someone who does good deeds, but in this sentence Nate received negative feedback instead.",Idiom,brownie point
5677,Adrenaline shot through him powerfully,Adrenaline shot through him like a lightning bolt.,"A lightning bolt is a powerful surge of electricity, so the simile is emphasizing the strength of the adrenaline surge.",Simile,
5933,"If we have to see it succeed greatly and continue on, we'll still do it supporting you.","If we have to see it crash and burn, we 'll still do it supporting you.","To crash and burn means to fail at something completely and dramatically, but in this sentence they describe the opposite of failing, which is succeeding.",Idiom,crash and burn
2836,I am so upset that my daughter failed an exam and tried to hide it from me.,I am really proud that my daughter felt like she had to hide her exam failure from me,A mother is someone who is supposed to be supportive and understanding when their children face difficult times and so feeling proud when one's child hides their exam failure is unrealistic.,Sarcasm,
2395,Yevsen's voice was gentle.,Yevsen's voice was like a saw cutting through metal.,"A saw is a very harsh tool, and it is used to cut through hard materials, so a voice that is like a saw would be harsh as well",Simile,
