index,sentence,label
3967,"To address `` private sector vulnerabilities to cyber war , '' as well as the more general problem of malware used for attacks and exploits on private and government systems alike , he would establish a system that scanned every Internet communication transiting the United States for known malware and removed any infected communications for examination and perhaps elimination .",neutral
1049,"NOMINEE 4 Rep. Steve King ( R-Iowa ) does n't just support building a wall at the border ; he wants to run 2,000 miles of electric fence on top of it , carrying `` the kind of current that would not kill somebody , but it would simply be a discouragement for them to be fooling around with it . ''",liberal
2373,Debasing currency is one of the oldest and most dishonest tricks used by monarchs and politicians to relieve themselves of the burden of heavy debts without inflicting ruinous taxes on their subjects and citizens .,conservative
2558,"The best ones have addressed the economic opportunity and security of the working middle class , the working poor , and the needy alike-cementing a political alliance among everyone who is not independently wealthy .",conservative
3313,"Hazlitt and other champions of freedom and free markets understood that the enemies of freedom can be counted on to exploit every opportunity to spread their falsehoods , so they worked tirelessly to help the common man to understand and appreciate the virtues of free-market capitalism .",conservative
528,"No : here , as everywhere , a governing class would rule , but the members of the class would be directly or indirectly elected by a fraction of the adult population for fixed terms of office and would thus be competing for popular favor ( albeit elite popular favor ) and therefore be answerable to public opinion ( or at least to elite public opinion ) .",liberal
2884,"Marci Fritz , vice president of the California Foundation for Fiscal Responsibility , blamed the action on promises made earlier by the council to the city 's employees concerning salaries and retirement benefits that the city no longer can afford .",conservative
1412,"The Ford Foundation is not alone in funding this revolution ; the Rockefeller Foundation , the Carnegie Endowment , the Rosenberg Foundation , George Soros , Bill Gates , and other philanthropic sources have joined in this effort .",liberal
980,"The true motivation for the plan was much simpler : The rationale was n't that rich people are bad but that they 're able , within reasonable limits , to afford a higher tax burden .",liberal
1621,"Instead , they are funded , and in some cases were created , by money flowing from pedigreed `` establishment '' sources , primarily the large tax-exempt charitable foundations , like the Ford Foundation and others .",liberal
3202,"Mencken 's observation , and has worked well in the past : find an issue ( or seize an opportunity if one is presented ) , create an environment of fear among the people , and then offer solutions that lead inexorably to the real goal : more government .",conservative
2431,On the gravestone of its hero -- Ronald Reagan -- is an epithet that suggests how far modern conservatism has traveled from its original basis in theological humility and acknowledgment of original sin : `` I know in my heart that man is good .,conservative
4064,"Even if the dangers are often overblown , this fear of unintended consequences is natural , though it regularly leads to wrong conclusions and bad policies .",neutral
3906,"`` A devil , a born devil , whose nature nurture could not pick , and whose nurture nature can not kick '' : this would have been a less musical but more accurate way for Shakespeare to have penned Prospero 's line .",neutral
2525,"The number one source of our fiscal problems is domestic spending , and for politicians from either party to suggest that we can solve the deficit by cutting defense or disengaging overseas is irresponsible and not true .",conservative
2231,The very reason that the regime and its media shills despise and fear sound money is the reason a free people should support it : it limits the government 's ambitions by restricting the share of resources it can siphon from the productive economy .,conservative
3838,"If the first resort is to drugs , the doctor could readily miss , and fail to treat , the actual root cause of the problem .",neutral
2458,But they can take at least some comfort in looking overseas-where one tiny country has managed to build a popular and successful universal health care program based entirely on private insurance .,conservative
251,"For the last decade , a federal judiciary dominated by conservatives has mostly served to stack the deck in favor of wealthy and privileged interests .",liberal
3853,"And the comedy runs deep : it is not trivial , for while it depicts absurdity , pomposity , and even cruelty , it has the curious effect of reconciling us to life even as it lays human weaknesses out for our inspection .",neutral
