id,headline,gold_label
13182,Climate change's worst possible outcome,real
20352,Trump to snub climate summit for religious freedom meeting at UN,real
6352,JK Rowling Joins High-Profile Figures Signing Letter Warning Of 'Intolerant Climate' For Free Speech,real
2085,Global warming' and 'climate change' mean different things and have both been used for decades.,misinfo
16054,Steve Coogan condemns super-rich for manipulating environmental issues to make themselves look good,misinfo
14780,Democrats climate policy follows Germany's failed plan  'Power prices in Germany are now among the highest in Europe',misinfo
9871,"In Siberian Fuel Spill, Climate Change Is Seen as Major Factor",real
18941,"Government of India will provide a relief package of Rs 50,000 to ration card-holders under its scheme 'Rashtriya Sikhshit Berojgar Yojna'.",misinfo
18121,A journalist who denounced politicians in Par for stealing funds destined to fight COVID-19 was shot and killed.,misinfo
3638,Climate pledges from Asia send 'extremely important' signal: UN,misinfo
6029,"Croatia to be put in ""total quarantine"" due to secret deal between authorities and the Red Cross.",misinfo
2790,"Climate Action Is Europe's 'Roadmap' Out of COVID-19 Crisis, Top Official Says",real
10157,cancer and chronic disease you make it better or worse depending on what you eat according to yet another study.,misinfo
10312,Clifden flooding a stark warning of extremes to come in Ireland - climate expert,real
6844,Trump says Yellow Vest violence in French capital caused by anger over environmental agreement,misinfo
5528,"Italian President Mattarella: ""Italy will declare a life-long quarantine""",misinfo
10423,COVID-19 Partner Update Call - Women,real
4504,"Benefits of Routine Childhood Vaccines Far Outweigh Risks of Additional COVID-19 Transmission in Africa, Study Suggests",real
12507,The pandemic was a giant scam since only 56 deaths from COVID-19 caused the collapse of the global economy.,misinfo
18774,Fish populations could rise even with extreme climate change study shows,real
