index,text,emotions
378374,id feel disappointed and cheated to have given so much just to end up on the desert hotel stage entertaining a gaggle of senior gamblers,sadness
407406,i feel so unprotected so hurt,sadness
361363,i feel depressed today,sadness
385943,i permanently veer between finding frugality very seductive and just really enjoying the feeling of buying a fantastic new outfit,joy
363903,i bring up the issue in conversation i feel insulted because i have always been driven and decently gifted intellectually i was valedictorian and yet i feel like the only person who believes i could do this and i definitely have my own doubts is myself,anger
371803,i feel proud about breastfeeding for this length of time but also in the gentle way i a href http older mum,joy
400417,i have been trying to work on this making it a point to apologize to myself and say thats okay at times when i am feeling overwhelmed,fear
371094,i feel a lot more contented with my lot in life now i listen to my body more and always have a better frame of mind,joy
408444,i also feel a much intelligent blogger as perhaps many other kiwi s who bookmark rss feeds,joy
359355,i do often feel a barely repressed irritability an annoying emotional phlegm which i often cannot properly cough up,sadness
372250,i was really feeling discouraged and questioning a lot,sadness
380386,i was feeling generous i would allow her perhaps two minutes to finish her conversation usually picking up the handset in my room at least once at which point she would screech into the receiver get off the phone,love
375842,i feel wonderful var disqus config function var config this access to the config object config,joy
350850,i was feeling pretty defeated,sadness
364944,i take i feel pretty miserable,sadness
394194,im feeling pretty fabulous,joy
404955,i wanted to feel the goosebumps again to be amazed at how god is working in gk,surprise
397571,i feel strongly about it and don t want to get distracted from the main point of this post,anger
402156,i can feel my body getting tighter and supporting my back more,love
400407,i probably just feel greedy,anger
382355,i feel the need to celebrate because really we have so much to be thankful for not the least of which is royce adelyn our third little love and my sweet joy baby,joy
387789,i particularly feel sympathetic towards the child molester or the ice truck killer,love
408857,i still feel thrilled scared stumped and excited at the same time,joy
402512,i had a conversation with a student they were already feeling intimidated and words that i viewed as honest and helpful were taken as critical and harsh,fear
354736,i feel like im just an extremely boring friend and they are only my friend because they want something,sadness
401869,i knew it would hurt them both even more and she was feeling frightened at what her father might do or even athrun,fear
377823,i felt insulted because the person dont know how i feel i was devastated the person assumes that everything must go in his way,sadness
407239,i no longer feel the need to interact with the unfortunate or anything like that,sadness
395719,i feeling melancholy because i am listening to simon amp garfunkel or am i listening to s amp g because i m feeling melancholy,sadness
358148,i feel like im getting a cold so im definitely glad that ive got some time to rest and recover,anger
350963,i feel like anytime i ask my husband to do something he gets all irritable frustrated,anger
404435,i shouldn t feel burdened by the prospect of joining my life with someone elses especially when that someone is someone whom i love truly and deeply,sadness
401623,i know we re supposed to feel for eun soo but i can t find her sympathetic here,love
372942,i know wedding thursday just doesn t have the same ring but i m feeling a little rebellious these days,anger
