id,premise,hypothesis,label,explanation,type,idiom
4135,"He said he was aware of the sensitivity of this assignment, but she would be lazy and super reluctant to remind him.","He said he was aware of the sensitivity of this assignment, but she would make a point of reminding him.",Contradiction,"To make a point of doing something is to consciously and deliberately make an effort to do it, but the context describes her being lazy and reluctant instead",Idiom,make a point of
4536,Did this man have a lot of limits and restrictions?.,Did this man know no bounds?,Contradiction,"To know no bounds means to be without limit or restriction, but in this context the man has a lot of limits and restrictions.",Idiom,know no bounds
2485,Oaths of homage are now obligatory that its enforcement was fiercely significant.,Oaths of homage fiercely won.,Entailment,The Oath of Homage is a pledge of allegiance to a lord in the feudal system and here in this context it remained an obligatory part.,Metaphor,
419,I ordered a hamburger from a restaurant and it was raw in the middle.,I was so glad that my hamburger arrived raw in the middle,Contradiction,A hamburger is supposed to be cooked all the way through and so receiving one that is still raw in the middle would be a terrible experience.,Sarcasm,
3975,I'm hairy,I'm as hairy as a naked mole rat,Contradiction,"A naked mole rat is a hairless animal, so saying someone is as hairy as a naked mole rat would imply that they are not hairy at all",Simile,
3903,He may lead us to some answers if we just leave immediately.,He may lead us to some answers if we just sit tight.,Contradiction,"To sit tight means to wait, but in this context they are leaving immediately instead of waiting",Idiom,sit tight
3516,"The boy's face changed swiftly, showing a hint of pain before it stayed there permanently","He saw the change in the boy's face: a streak of pain, there and gone like a comet.",Contradiction,"A comet is a celestial body that appears suddenly in the sky and is gone just as quickly, so saying the streak of pain was gone like a comet means it disappeared quickly and not stayed permanently",Simile,
1605,He removed aside my objections.,He swept aside my objections.,Contradiction,"To sweep something aside means to dismiss it or disregard it, while to remove something means to take it away or eliminate it.",Metaphor,
4323,I hate it when people make loud breathing noises while eating a sandwich.,I love the sound of people loudly breathing while they eat a sandwich,Contradiction,People loudly breathing while they eat a sandwich can be considered to be quite annoying and so someone who loves that sound is not something normal.,Sarcasm,
2632,"My favorite pair of shorts are ruined, thanks to an overtrusted fart",My favorite pair of shorts are simply glorious because I pooped on them by accident,Contradiction,Most people would not consider their favorite clothes to be the ones they have soiled with poop and would instead feel disgusted,Sarcasm,
4293,Either they adopt the behavior attitudes or characteristics of the people of a different culture in which one now lives or they can be used to produce new faerie children.,Either they go native and forget their former lives or they can be used to produce new faerie children.,Entailment,"To go native means to adopt the behavior attitudes or characteristics of the people of a different culture in which one now lives, which is what the first option entails.",Idiom,go native
1237,"I just went past a fish market, and the smell was overwhelming. ",I drove past a fish market and the smell made me feel like I was in a flower shop.,Contradiction,The smell of a fish market is often unpleasant and nothing like the smell of flowers which is why it is sarcastic to say that the smell made someone feel like they were in a flower shop.,Sarcasm,
452,The only reason he wanted to marry her was out of spite.,His insistence on marrying a woman who didn't want him was just like a child demanding a particular toy because some other child had it.,Entailment,A child demanding a particular toy because some other child had it is usually immature and the simile here portrays the fact that the only reason he wanted to marry her was out of spite like a kid,Simile,
1133,"I damaged my car yesterday, I am so worried about how much it will cost to repair it.",I am excited about how much it will cost to repair the damage I did to my car yesterday,Contradiction,"When someone damages their car, it often costs a lot of money to repair it and so being excited about the prospect of having to pay for the damage is not logical.",Sarcasm,
6274,Her interest in butterflies engages her completely .,Her interest in butterflies absorbs her completely.,Entailment,"Engages and absorbs mean the same thing in this context, which is that her interest in butterflies takes up all of her attention.",Metaphor,
4704,This operation is transparent,This operation is as transparent as tinted glass,Contradiction,"Tinted glass is not transparent because it has a color, so it blocks light",Simile,
1881,Everytime I buy a lottery ticket I never win.,It's so encouraging to buy a lottery ticket every week and never ever win,Contradiction,Buying lottery tickets week after week and never winning implies that the person is wasting their money and hence it is not encouraging at all.,Sarcasm,
4864,The path descended all the way from the top of the hill.,The path climbed all the way to the top of the hill.,Contradiction,The path climbing up means it is going up the hill while descended down mean it is coming down.,Metaphor,
3990,"I don't really, but I made things worse by saying something stupid as usual, and Conner is not letting me get away with it.","I dont really, but I put my foot in my mouth as usual, and conners not letting me off the hook.",Entailment,"To be off the hook means to be freed from an obligation, and in this context the speaker is not freed from their obligation to Conner.",Idiom,off the hook
6206,My friend who I had plans with for the past month cancelled on me.,It's awesome when my friend who I had plans with for the past month cancels on me,Contradiction,Having plans with someone for a long time and then them cancelling on you at the last minute is not a good feeling and is often very frustrating.,Sarcasm,
6915,Its not like you speak vaguely.,Its not like you beat about the bush.,Entailment,To beat about the bush means to speak vaguely so as to avoid talking directly about an unpleasant topic.,Idiom,beat about the bush
6966,"My son stole a car from an elderly man today, never have I been so let down.","I feel proud that my son who is supposed to be the good one, stole a car from an elderly man today",Contradiction,"When a child steals something, it is generally considered to be bad and not something to be proud of.",Sarcasm,
2842,"Even though I felt hollow inside, I smiled and laughed when Dub looked at me.","I smiled when dub looked at me and laughed, even though inside I felt like a rotten log",Entailment,"A rotten log is hollow inside, so when the person says they felt like a rotten log, they mean that they felt hollow inside.",Simile,
2345,I was at a friends house and he had the grossest kitchen I had ever seen!,I was at my friend's house and the kitchen was so dirty that it made me want to congratulate him,Contradiction,A dirty kitchen is not something anyone would want and it would be insulting to congratulate someone for having a dirty kitchen.,Sarcasm,
6719,You speak in a charming and effective way but I am not convinced.,Your words surround me but I will not surrender.,Entailment,"Surround me is used to mean the person speaks in a charming fashion but the person will still not surrender, means not convinced.",Metaphor,
2370,"They were, for all practical purposes, a completely self-sustaining community.","They were, to all intents and purposes, a completely self-sustaining community.",Entailment,"To all intents and purposes means in every practical or functional sense, and in this context it is used to describe a community that is almost completely self-sustaining.",Idiom,to all intents and purposes
4567,For summer and his pleasures stop on thee.,For summer and his pleasures take flight on thee.,Contradiction,"Here one sentence is saying that summer and its pleasures are fleeting and will soon be gone, while the other sentence is saying that summer and its pleasures will last.",Metaphor,
4846,My personal feelings and biases make me form a judgment about this situation.,My personal feelings color my judgment in this case.,Entailment,Coloring judgment means that my own emotions and thoughts influence the way I see this situation.,Metaphor,
1357,I was so humiliated when I got pulled over by the cops in front of my son's school.,I was so delighted when I got pulled over by the cops in front of my son's school,Contradiction,Getting pulled over by the cops is never a good thing and doing it in front of one's son's school is even worse because it can embarrass the child.,Sarcasm,
6138,I have been trying to purchase a car but my credit is so bad.,I feel in complete harmony with the world because I have been trying to purchase a car but my credit is is so terrible.,Contradiction,Not being able to purchase a car because of bad credit could imply financial instability which would put someone in a position of worry and stress instead of harmony.,Sarcasm,
7316,He was fragile,"He was like a butterfly in autumn, waiting to be destroyed by the first frost.",Entailment,Butterflies in autumn are waiting to be destroyed because they are fragile and won't survive the frost.,Simile,
1576,My girlfriend said no when I asked her to marry me.,I am so thrilled that my girlfriend said no when I asked her to marry me,Contradiction,"When someone gets rejected for marriage, it is usually not a good thing and so the person being happy about it is sarcastic.",Sarcasm,
1241,I feel like vomiting when I walk into a public restroom and it smells like manure.,I feel wonderful when I walk into a public restroom and smell the manure-like stench,Contradiction,A public restroom is not a place where anyone would want to smell manure and so the smell coming from it would be unpleasant and not wonderful.,Sarcasm,
1443,Andrew and Bill were very witty and had very funny jokes.,"If wits were pins, Andrew and Bill would be veritable hedgehogs.",Entailment,"If wits were pins, Andrew and Bill would be full of them, just like a hedgehog full of spikeed pins, because they are very witty and have a lot of funny jokes.",Metaphor,
562,I was at the dentist's office today and had to wait 45 minutes past my appointment time to be seen.,I was overjoyed that I had to wait 45 minutes past my appointment time to finally be seen by the dentist,Contradiction,"When someone has to wait for a long time past their appointment time, it means that they are not being prioritized and that their time is not valuable which is not a good feeling.",Sarcasm,
1898,"I've spent the last year of my life feeling suspect, distrusted and disapproved.",I've spent the last year of my life under a cloud.,Entailment,"To be under a cloud means to be viewed with suspicion, distrust or disapproval, and this context describes the speaker feeling those things.",Idiom,under a cloud
6466,I really was grossed out when my nephew threw up the other day.,I was totally in awe when my nephew projectile vomited all over the place,Contradiction,Most people would not be impressed but grossed outby someone projectile vomiting especially because it is a disgusting act.,Sarcasm,
4380,"Ever since we met, she continued, we've been in complete agreement with each other on everything.","Ever since we met,she continued, we've been at loggerheads.",Contradiction,"To be at loggerheads with someone means to be in conflict with them, but the sentence describes being in complete agreement",Idiom,at loggerheads
3857,The user would become increasingly distressed as the days went on.,Yet as the days would pass the user would become like a sapling bending in a hurricane.,Entailment,"A sapling bending in a hurricane is being blown around violently and is in danger of being broken, which is analogous to the increasing distress of the user.",Simile,
6703,I put my garbage out on garbage day and an hour later a bunch of raccoons had tore it up and it was everywhere.,I was so happy to put my garbage out on the designated day but then an hour later I was blessed to witness a bunch of raccoons artistically rearranging it everywhere,Contradiction,It is not a pleasant experience to have your garbage scattered around by animals because it makes the place look dirty and untidy.,Sarcasm,
